Timestamp,LNG_before_optimized,Delta,311F003.PNT,final_LNG_optimized,315FC005.MEAS,315FC011.MEAS,315FC012.MEAS,315FC013.MEAS,315FC020.MEAS,315FC021.MEAS,315FC022.MEAS,315FC026.MEAS,315FC750.MEAS,315FC031.MEAS,315FC751.MEAS,312FQ011.MEAS,314FC753.MEAS
2022-01-02 02:00:00,5988.913,348.0435273,6638.453613,6184.811624545011,15.7527558,0.0,10.59306669,0.005452474,0.0,,0.0,0.0,-0.058287761,47.02908643,0.178186851,1.109756311,210.0006714
2022-01-02 03:00:00,6006.9463,321.7994651,6684.119792,6203.394928301093,15.56824414,0.0,10.73897505,0.005234375,0.0,,0.0,0.0,-0.052458987,55.34899203,65.7110554,0.000182813,210.0006714
2022-01-02 04:00:00,5974.6274,340.3323414,6662.139811,6192.367613970825,15.72563012,0.0,3.726874987,0.007851563,0.0,,0.0,0.0,4.026851834,56.81906128,28.40750504,0.00016875,210.0006714
2022-01-02 05:00:00,5969.667,301.8747597,6616.554932,6135.625925575148,15.74476957,0.0,0.0,0.006542969,0.0,-4.332754135,0.0,0.0,-0.050793621,54.30474536,35.6666247,0.0001125,203.001325
2022-01-02 06:00:00,5977.5986,290.2961763,6590.796712,6132.6524627548515,15.14772304,0.0,0.0,0.00828776,0.0,,0.0,0.0,-0.047462893,55.97920863,31.30902608,0.74158597,189.0005951
2022-01-02 07:00:00,6008.513,292.2019862,6669.249919,6165.662191175662,15.19894568,0.0,0.000654297,0.009160156,0.0,,0.0,0.0,-0.040801434,56.11940257,39.34870974,0.515939087,210.0292231
2022-01-02 08:00:00,5955.095,327.028869,6619.642741,6106.687872419051,16.24281375,0.0,0.001090495,0.005234375,0.0,,0.0,0.0,-0.04663021,59.38578415,43.24488449,9.84e-05,205.682696
2022-01-02 09:00:00,5958.8525,330.2798433,6593.356283,6142.557602159791,16.92399216,0.0,0.0,0.006979167,0.0,-4.305273533,0.0,0.0,-0.051626304,58.01398214,46.75942039,0.412565643,183.7023045
2022-01-02 10:00:00,5867.207,499.8836754,6502.714681,6157.227035151151,17.72827101,0.0,6.480810827,0.010250651,0.0,-4.383134842,0.0,0.0,-0.056622397,54.13310687,40.8513298,0.495562513,124.4732052
2022-01-02 11:00:00,5616.3633,329.4667718,6267.030111,5761.550229655196,16.0293862,0.0,3.454905542,0.00850586,0.0,-4.312143564,0.0,0.0,-0.055789716,58.97699547,39.15855535,0.000225,204.704066
2022-01-02 12:00:00,5611.0806,339.1521489,6204.218831,5836.072601951016,15.36101294,0.0,0.001744792,0.007851563,0.0,,0.0,0.0,-0.050793622,56.68934886,41.68774414,0.0,146.4397608
2022-01-02 13:00:00,5620.045,323.9386682,6228.189535,5882.38114564659,15.9949619,0.0,0.000218099,0.008287761,0.0,,0.0,0.0,-0.039968752,57.82007027,39.69311619,0.965742211,183.2954992
